,0
omitted>,8
<Media,8
2,7
to,6
the,6
for,6
I,5
this,5
hi,5
of,5
with,4
book,4
month,4
https,4
ðŸ˜‚,4
left,3
effort,3
am,3
it,3
videos,3
and,3
so,3
be,3
ka,3
my,3
30km,3
target,3
a,3
days,3
running,3
one,3
Birthday,3
books,3
Happy,3
#2,2
per,2
hai,2
by,2
ðŸ˜Š,2
change,2
Thank,2
swimming,2
he,2
Done,2
you,2
done,2
ki,2
Video,2
5,2
day,2
ðŸ™,2
whatever,2
My,2
complete,2
should,2
ke,2
emoji,1
This,1
hai??,1
deleted,1
message,1
Congratulations..,1
was,1
think,1
best,1
ðŸ˜‚ðŸ˜‚,1
option,1
Ignore,1
For,1
ðŸ˜€,1
â˜¹ï¸,1
week,1
only..,1
Brothers,1
at,1
war,1
(part,1
Empire,1
Moghuls),1
Alex,1
Rutherford..,1
August,1
Sankalps,1
are,1
complete..,1
DP,1
celebration,1
Calls,1
measure,1
might,1
effort..,1
proof,1
let,1
measured,1
in,1
number,1
only?,1
km,1
If,1
average,1
Nope..,1
runs,1
10,1
goes,1
says,1
okay..,1
majority,1
baaki,1
value,1
do,1
dedo,1
le,1
6,1
bhaag,1
if,1
cover,1
then..,1
karte,1
take,1
15,1
karna,1
(assuming,1
2km,1
kyu,1
hai..,1
day),1
/,1
Finished,1
din,1
wants,1
last,1
ðŸ˜ŠðŸ˜Š,1
ðŸ¤£,1
One,1
January,1
ðŸ¤£ðŸ¤£ðŸ¤£,1
Jan,1
Target,1
link,1
ðŸ˜ŠðŸ‘,1
third,1
"""It's",1
"Life""",1
Mirza,1
Yawar,1
Baig,1
What's,1
is,1
YouTube,1
2nd,1
posting,1
soon,1
With,1
video,1
today),1
kaise..,1
(started,1
Hitesh,1
ðŸŽ‰ðŸŽ‰ðŸŽðŸŽ,1
1st,1
Challenge,1
completed..,1
3rd,1
started,1
today,1
1.,1
The,1
power,1
Habit,1
2.,1
Human,1
+,1
Machine,1
3.,1
It's,1
Life,1
Aise,1
Book,1
LinkedIn..,1
Koi,1
punishment,1
accepted,1
1.5,1
ðŸ™ðŸ™,1
Harry,1
Potter,1
theme..,1
awesome,1
ðŸ‘ðŸ‘,1
Divay,1
ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸ»ðŸ»ðŸ»ðŸŽ‚ðŸŽ‚ðŸŽ‚,1
Completed,1
@918588853797...,1
Have,1
great,1
Full,1
res,1
pics,1
switched,1
na..,1
maanoge,1
almost,1
bhagwa,1
through..,1
Just,1
need,1
an,1
hour,1
bhi,1
aaj,1
bana,1
karne,1
koshish,1
puri,1
rahegi,1
DISCLAIMER,1
Mere,1
pass,1
sunrise,1
tak,1
time,1
Matlab,1
ðŸŽ‰ðŸŽ‰,1
